# ALPHA = 0.05
# NUMBER_OF_TESTS = 3

# _SET1_  VARIABLE = All_significant_in_AA (set)
# _SET1_  NGENES = 3761
# _SET1_  P-VALUE = 0.0118968
_SET1_   GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   NIPAL3             1   24742245   24799473     62       9  244785       2.2923   4.9826e-05   -5.3413e-05       2.2923
_SET1_   RHCE               1   25687853   25747363      2       1  200110   -0.0094328      0.24413   -5.3413e-05   -0.0093793
_SET1_   SEPN1              1   26126667   26144713     10       3  233945       1.2025     0.007588   -5.3413e-05       1.2025
_SET1_   AUNIP              1   26158414   26185939     15       1  244629     -0.61891      0.31995   -5.3413e-05     -0.61885
_SET1_   STMN1              1   26210670   26233368      8       2  245646     -0.05463      0.11636   -5.3413e-05    -0.054577
_SET1_   SLC30A2            1   26364513   26373439      4       1  243641       1.7617    0.0029413   -5.3413e-05       1.7617
_SET1_   LIN28A             1   26737269   26756219     16       5  228931         5.25   2.2653e-11   -5.3413e-05       5.2501
_SET1_   RPS6KA1            1   26856249   26901520     31       5  241537       2.8438     9.95e-06   -5.3413e-05       2.8438
_SET1_   ARID1A             1   27022522   27108601     16       3  240904         2.68    4.289e-05   -5.3413e-05       2.6801
_SET1_   MAP3K6             1   27681670   27693558     10       3  199162      -1.0496      0.50216   -5.3413e-05      -1.0495
_SET1_   WASF2              1   27730734   27816678     25       2  238153      -1.2604       0.5455   -5.3413e-05      -1.2603
_SET1_   THEMIS2            1   28199055   28213196     11       2  239041      0.73404     0.025743   -5.3413e-05      0.73409
_SET1_   EYA3               1   28296855   28415173     51       7  239411      0.69235     0.014745   -5.3413e-05      0.69241
_SET1_   SESN2              1   28585963   28609002     11       3  240845     -0.65486      0.28028   -5.3413e-05     -0.65481
_SET1_   PHACTR4            1   28696093   28826881     34       3  245214       -1.629      0.60612   -5.3413e-05       -1.629
_SET1_   OPRD1              1   29138654   29190208     48       7  236370     -0.30549      0.11375   -5.3413e-05     -0.30544
_SET1_   SRSF4              1   29474250   29508637     17       5  234222      0.36313     0.047189   -5.3413e-05      0.36319
_SET1_   MECR               1   29519385   29557460     40       9  240640       0.3237     0.035317   -5.3413e-05      0.32376
_SET1_   PTPRU              1   29563028   29653325     64      12  241330     -0.36236      0.10442   -5.3413e-05     -0.36231
_SET1_   PUM1               1   31404353   31538838     68       7  244465       2.2598   6.7138e-05   -5.3413e-05       2.2599
_SET1_   NKAIN1             1   31652592   31712734     60       6  247923     -0.35474      0.12035   -5.3413e-05     -0.35468
_SET1_   SERINC2            1   31882412   31907527     12       2  223561       1.0148     0.015065   -5.3413e-05       1.0149
_SET1_   COL16A1            1   32117848   32169768     52       9  237479       1.5348   0.00092727   -5.3413e-05       1.5349
_SET1_   KHDRBS1            1   32479295   32526460      3       2  241451       2.2631   0.00050803   -5.3413e-05       2.2632
_SET1_   EIF3I              1   32687971   32697205      2       1  249069       2.4123   0.00038146   -5.3413e-05       2.4124
_SET1_   BSDC1              1   32830704   32860062      2       1  170928      -1.5798      0.86549   -5.3413e-05      -1.5797
_SET1_   SYNC               1   33145507   33168361     13       2  238270      -2.2782      0.89401   -5.3413e-05      -2.2782
_SET1_   YARS               1   33240840   33283633     15       3  251399      -0.1321      0.12214   -5.3413e-05     -0.13205
_SET1_   S100PBP            1   33282368   33324480     18       5  240748     -0.13982      0.11194   -5.3413e-05     -0.13977
_SET1_   FNDC5              1   33327869   33338093      5       2  230123     -0.42558      0.26141   -5.3413e-05     -0.42552
_SET1_   HPCA               1   33351688   33360247      3       1  252213      0.81123      0.03412   -5.3413e-05      0.81128
_SET1_   TMEM54             1   33360196   33367041      2       1  219183        2.937   9.5009e-05   -5.3413e-05        2.937
_SET1_   TRIM62             1   33611000   33647671     30       3  225244      -1.1362      0.46636   -5.3413e-05      -1.1361
_SET1_   PHC2               1   33789224   33841194     45       6  249786       1.2447    0.0027759   -5.3413e-05       1.2448
_SET1_   CSMD2              1   33979609   34631443    777      97  239206      -2.2166      0.49481   -5.3413e-05      -2.2166
_SET1_   SMIM12             1   35315963   35325417      6       3  184240    -0.081536      0.19155   -5.3413e-05    -0.081483
_SET1_   SFPQ               1   35641981   35658766     13       3  208215       1.2832     0.020699   -5.3413e-05       1.2833
_SET1_   ZMYM4              1   35734444   35887545     80       7  213037      0.96683     0.020713   -5.3413e-05      0.96689
_SET1_   KIAA0319L          1   35899091   36023037     64       8  196782       1.2233     0.010701   -5.3413e-05       1.2234
_SET1_   AGO3               1   36396364   36522360     29       4  212029       1.5346    0.0045048   -5.3413e-05       1.5347
_SET1_   STK40              1   36805225   36851525     23       5  231902      0.74949     0.019311   -5.3413e-05      0.74955
_SET1_   ZC3H12A            1   37940119   37949978      3       2  251631       1.1131     0.012269   -5.3413e-05       1.1132
_SET1_   MEAF6              1   37955561   37980420     17       5  247888       1.6494    0.0011413   -5.3413e-05       1.6494
_SET1_   DNALI1             1   38022520   38032458     10       4  241380       3.9178   9.8159e-08   -5.3413e-05       3.9178
_SET1_   GNL2               1   38032413   38061586     13       4  247017       1.6971    0.0012088   -5.3413e-05       1.6971
_SET1_   C1orf109           1   38147242   38158007     15       2  235937     -0.22049      0.16575   -5.3413e-05     -0.22043
_SET1_   EPHA10             1   38181646   38230824     67       9  240910       1.7833   0.00040257   -5.3413e-05       1.7834
_SET1_   MANEAL             1   38259721   38267278      2       1  224061       2.8466   9.4467e-05   -5.3413e-05       2.8467
_SET1_   FHL3               1   38462439   38471199      4       2  186494       1.8383    0.0034023   -5.3413e-05       1.8383
_SET1_   UTP11L             1   38478384   38490497      2       1  225860      0.87703      0.04141   -5.3413e-05      0.87708
_SET1_   AKIRIN1            1   39456916   39471737     10       3  244263        1.025     0.010079   -5.3413e-05        1.025
_SET1_   MACF1              1   39549839   39952810    220      21  229464       1.8746   0.00018164   -5.3413e-05       1.8746
_SET1_   MFSD2A             1   40420784   40435630      4       2  248854     -0.58631      0.28287   -5.3413e-05     -0.58626
_SET1_   RLF                1   40627041   40706593     32       4  252392     -0.60397      0.21514   -5.3413e-05     -0.60392
_SET1_   ZMPSTE24           1   40723722   40759856     18       5  246091        0.141     0.064345   -5.3413e-05      0.14106
_SET1_   COL9A2             1   40766162   40782939      8       3  188981       4.6947   9.7658e-09   -5.3413e-05       4.6948
_SET1_   EXO5               1   40974391   40982228      8       2  252667      -2.1155      0.81569   -5.3413e-05      -2.1155
_SET1_   HIVEP3             1   41972036   42501596    525      44  241391       5.7177   6.8713e-15   -5.3413e-05       5.7177
_SET1_   RIMKLA             1   42846468   42889900     50       6  245753       0.1619     0.046119   -5.3413e-05      0.16195
_SET1_   SLC2A1             1   43391046   43424847     49       9  240558       2.6111    1.626e-05   -5.3413e-05       2.6112
_SET1_   TIE1               1   43766566   43788781     19       3  250308       2.0817   0.00027309   -5.3413e-05       2.0818
_SET1_   PTPRF              1   43991708   44089343     86      10  245101     -0.27222     0.085752   -5.3413e-05     -0.27217
_SET1_   ATP6V0B            1   44440118   44443972      5       2  242029       -2.305      0.89085   -5.3413e-05       -2.305
_SET1_   B4GALT2            1   44444874   44456843      6       2  242980      -1.4582      0.65995   -5.3413e-05      -1.4581
_SET1_   DMAP1              1   44679104   44686351      5       2  231023      -1.3009      0.57102   -5.3413e-05      -1.3008
_SET1_   EIF2B3             1   45316194   45452394     82       7  248316       1.0491    0.0047169   -5.3413e-05       1.0492
_SET1_   HECTD3             1   45468220   45477027      3       1  251597        2.764   9.0366e-05   -5.3413e-05       2.7641
_SET1_   MUTYH              1   45794914   45806142      6       3  239922       2.3327   0.00026407   -5.3413e-05       2.3327
_SET1_   AKR1A1             1   46016455   46035723     11       3  224232       5.4851    1.047e-11   -5.3413e-05       5.4852
_SET1_   TMEM69             1   46153847   46160110      2       1  253212        3.695   1.1859e-06   -5.3413e-05        3.695
_SET1_   IPP                1   46159996   46216485      4       1  239342       3.8968   4.8239e-07   -5.3413e-05       3.8968
_SET1_   MAST2              1   46269269   46501796    159       8  247266        4.135    4.188e-09   -5.3413e-05       4.1351
_SET1_   PIK3R3             1   46505812   46642167     65       6  247476       4.5293   5.9095e-10   -5.3413e-05       4.5294
_SET1_   LRRC41             1   46744072   46769038      7       3  249341       1.2547    0.0064787   -5.3413e-05       1.2548
_SET1_   EFCAB14            1   47140831   47184792     50       5  224745      -1.4963      0.55254   -5.3413e-05      -1.4962
_SET1_   CMPK1              1   47799469   47844511     22       3  250102       4.4452   3.1463e-09   -5.3413e-05       4.4452
_SET1_   RNF11              1   51701945   51739119      8       4  239905      0.12485      0.10272   -5.3413e-05       0.1249
_SET1_   OSBPL9             1   52082546   52254891     41       6  216495      0.48598     0.038185   -5.3413e-05      0.48604
_SET1_   RAB3B              1   52373628   52456436     51       8  249642       1.9943   0.00020057   -5.3413e-05       1.9943
_SET1_   BTF3L4             1   52521857   52556388     14       5  229797       2.1321   0.00095814   -5.3413e-05       2.1322
_SET1_   ZYG11B             1   53192126   53293014     65       7  233552       1.4158    0.0018157   -5.3413e-05       1.4158
_SET1_   C1orf123           1   53679771   53686289      6       2  248861      -1.6574      0.68439   -5.3413e-05      -1.6573
_SET1_   MAGOH              1   53692564   53704282      8       2  249227     -0.75814      0.31696   -5.3413e-05     -0.75808
_SET1_   GLIS1              1   53971904   54203748    272      23  241915       3.3998   9.8313e-08   -5.3413e-05       3.3999
_SET1_   HSPB11             1   54387234   54411975     13       2  244846      -0.7668       0.3629   -5.3413e-05     -0.76675
_SET1_   TCEANC2            1   54519274   54565416     26       4  237281      0.99329     0.011363   -5.3413e-05      0.99335
_SET1_   MRPL37             1   54665840   54691407     29       7  227866      0.49994     0.029961   -5.3413e-05      0.49999
_SET1_   PARS2              1   55222571   55230226      8       3  245298     -0.20744      0.14798   -5.3413e-05     -0.20739
_SET1_   DHCR24             1   55315300   55352921     26       4  244329      0.96953    0.0089266   -5.3413e-05      0.96958
_SET1_   PCSK9              1   55505149   55530526     37       9  227818     -0.43338       0.1551   -5.3413e-05     -0.43333
_SET1_   PRKAA2             1   57110990   57181008     39       5  238620     -0.65693      0.21044   -5.3413e-05     -0.65688
_SET1_   MYSM1              1   59120411   59165747     62       7  246311       0.9893    0.0053578   -5.3413e-05      0.98935
_SET1_   JUN                1   59246463   59249785      1       1  241120    -0.097431         0.29   -5.3413e-05    -0.097377
_SET1_   AK4                1   65613232   65697828     60       7  249366      0.95679    0.0061129   -5.3413e-05      0.95685
_SET1_   DNAJC6             1   65720133   65881552    170      19  244900      -1.1343      0.25285   -5.3413e-05      -1.1343
_SET1_   PDE4B              1   66258193   66840262    578      51  242494      0.92903     0.001636   -5.3413e-05      0.92908
_SET1_   SGIP1              1   66999066   67210768    374      19  249669     -0.67403      0.13276   -5.3413e-05     -0.67398
_SET1_   SERBP1             1   67873493   67896123      5       1  241754       -1.289      0.58982   -5.3413e-05       -1.289
_SET1_   GADD45A            1   68150860   68154021      3       1  234242     -0.45377      0.29498   -5.3413e-05     -0.45371
_SET1_   LRRC7              1   70033230   70589171    514      39  244082      -2.9528      0.84838   -5.3413e-05      -2.9527
_SET1_   HHLA3              1   70820493   70833706      8       2  243202      -1.6459      0.68817   -5.3413e-05      -1.6458
_SET1_   CTH                1   70876901   70905534     24       6  244711     -0.97798      0.31811   -5.3413e-05     -0.97793
_SET1_   PTGER3             1   71318036   71513497    199      34  241661      0.30805     0.012263   -5.3413e-05       0.3081
_SET1_   NEGR1              1   71868625   72748533    701      65  243172     -0.94666      0.12734   -5.3413e-05     -0.94661
_SET1_   LRRIQ3             1   74491699   74663871    107       9  244818      -2.9356      0.90585   -5.3413e-05      -2.9355
_SET1_   TYW3               1   75198836   75232361      8       2  236145       1.5879    0.0033827   -5.3413e-05       1.5879
_SET1_   RABGGTB            1   76251879   76260775     11       4  240206       0.8486     0.015239   -5.3413e-05      0.84865
_SET1_   PIGK               1   77554666   77685132    117      13  228863    -0.029516     0.062239   -5.3413e-05    -0.029463
_SET1_   AK5                1   77747662   78025654    356      49  239693       3.0207   2.3704e-07   -5.3413e-05       3.0208
_SET1_   NEXN               1   78354200   78412009     15       5  229153       1.0698     0.010991   -5.3413e-05       1.0698
_SET1_   GIPC2              1   78510646   78604129     75      10  240075       3.7561   4.7675e-08   -5.3413e-05       3.7561
_SET1_   TTLL7              1   84335057   84464850     96       7  242516      -1.5239      0.48426   -5.3413e-05      -1.5238
_SET1_   PRKACB             1   84543745   84704181     81       8  238155     -0.32376      0.10576   -5.3413e-05      -0.3237
_SET1_   CTBS               1   85018804   85048039     25       6  239478      -1.3173      0.47368   -5.3413e-05      -1.3173
_SET1_   WDR63              1   85527993   85598821    107      18  247876     -0.88398       0.1824   -5.3413e-05     -0.88393
_SET1_   SYDE2              1   85623356   85667292     32       5  243995       -1.301      0.46599   -5.3413e-05      -1.3009
_SET1_   C1orf52            1   85715636   85725355     10       4  226698       2.6797    4.562e-05   -5.3413e-05       2.6797
_SET1_   HS2ST1             1   87380335   87575681    138       6  241640       2.1936   0.00012889   -5.3413e-05       2.1936
_SET1_   LMO4               1   87794151   87814606     16       3  226879      -1.9682      0.80927   -5.3413e-05      -1.9681
_SET1_   CCBL2              1   89401456   89458643     45       4  245055       5.5424   1.2465e-12   -5.3413e-05       5.5425
_SET1_   ZNF326             1   90460678   90494101     16       4  171551      -2.1282      0.87331   -5.3413e-05      -2.1281
_SET1_   HFM1               1   91726323   91870426     76      10  234414      -1.4858      0.46886   -5.3413e-05      -1.4858
_SET1_   CDC7               1   91966338   91991321     18       6  232962       1.5042    0.0019727   -5.3413e-05       1.5043
_SET1_   RPAP2              1   92764522   92853732     46       7  232106       4.0902   1.3719e-08   -5.3413e-05       4.0903
_SET1_   DR1                1   93811478   93828149     12       3  224312       2.2046   0.00034602   -5.3413e-05       2.2046
_SET1_   DNTTIP2            1   94335014   94345474      6       1  243921     -0.99893      0.46451   -5.3413e-05     -0.99888
_SET1_   SLC44A3            1   95285898   95360803    118      27  238305      -1.2787      0.28496   -5.3413e-05      -1.2786
_SET1_   CNN3               1   95362507   95392735     18       7  241910      0.10312     0.061924   -5.3413e-05      0.10318
_SET1_   ALG14              1   95448279   95538512     60       9  250460      0.97463    0.0049707   -5.3413e-05      0.97468
_SET1_   PTBP2              1   97187161   97280605     49       6  237081     -0.67921      0.21437   -5.3413e-05     -0.67915
_SET1_   DPYD               1   97543299   98386615    613      77  234787     -0.63615     0.065317   -5.3413e-05     -0.63609
_SET1_   SNX7               1   99127236   99226056    101      10  250751      -2.0154      0.63798   -5.3413e-05      -2.0153
_SET1_   LPPR5              1   99355801   99470449    104      18  246807      -1.5517      0.41171   -5.3413e-05      -1.5516
_SET1_   LPPR4              1   99729848   99775140     52       9  243792      -1.5051      0.47918   -5.3413e-05      -1.5051
_SET1_   DPH5               1  101455179  101491365     18       4  241159      -1.9647      0.74323   -5.3413e-05      -1.9646
_SET1_   OLFM3              1  102268126  102462790    265      37  233643     -0.33322     0.052912   -5.3413e-05     -0.33317
_SET1_   NTNG1              1  107682540  108024477    361      52  241775      -2.0425      0.49412   -5.3413e-05      -2.0424
_SET1_   SARS               1  109756515  109780804      7       3  243035      0.32316     0.057887   -5.3413e-05      0.32322
_SET1_   CYB561D1           1  110036658  110043063      5       2  184207     -0.70885      0.44517   -5.3413e-05     -0.70879
_SET1_   GNAI3              1  110091186  110138465     31       5  236291     -0.59978      0.21913   -5.3413e-05     -0.59972
_SET1_   AHCYL1             1  110527387  110566364     18       5  213000      0.23923     0.081911   -5.3413e-05      0.23928
_SET1_   RBM15              1  110881945  110889303      3       1  234424      0.62776     0.053766   -5.3413e-05      0.62782
_SET1_   CD53               1  111413821  111442558     32       6  249114      -1.0497      0.32613   -5.3413e-05      -1.0496
_SET1_   DRAM2              1  111659954  111682838     22       5  249542      -1.9348      0.70325   -5.3413e-05      -1.9347
_SET1_   MOV10              1  113217048  113243368     14       3  239854       4.5635   2.3311e-09   -5.3413e-05       4.5636
_SET1_   RHOC               1  113243749  113250025      4       2  244904      0.90574     0.019453   -5.3413e-05      0.90579
_SET1_   PPM1J              1  113252616  113257950      1       1  232546       3.8123      1.5e-06   -5.3413e-05       3.8124
_SET1_   AP4B1              1  114437370  114447741      8       2  252451      -1.4274      0.57098   -5.3413e-05      -1.4273
_SET1_   SYT6               1  114631914  114696472    116      30  234097      -1.7561      0.44585   -5.3413e-05      -1.7561
_SET1_   DENND2C            1  115127155  115212732     42       7  243012      0.54558     0.020909   -5.3413e-05      0.54563
_SET1_   CSDE1              1  115259534  115300671     25       3  250932      -1.1316      0.41092   -5.3413e-05      -1.1316
_SET1_   TSHB               1  115572445  115576930      6       2  250394      -2.8311      0.94721   -5.3413e-05      -2.8311
_SET1_   TSPAN2             1  115590632  115632121     77      12  249018     -0.38318     0.095199   -5.3413e-05     -0.38312
_SET1_   VANGL1             1  116184574  116240845     94      19  242289     -0.19879     0.058633   -5.3413e-05     -0.19873
_SET1_   NHLH2              1  116378998  116383747      1       1  253072     -0.81184         0.42   -5.3413e-05     -0.81178
_SET1_   PTGFRN             1  117452689  117532972    109      15  241942     -0.40316      0.10191   -5.3413e-05     -0.40311
_SET1_   TTF2               1  117602910  117645492     44      11  229260     -0.11781     0.083077   -5.3413e-05     -0.11775
_SET1_   VTCN1              1  117686209  117753582     59      12  229161      -1.7889      0.59718   -5.3413e-05      -1.7889
_SET1_   MAN1A2             1  117910085  118068320    134      14  245405    -0.071696     0.052346   -5.3413e-05    -0.071643
_SET1_   SPAG17             1  118496288  118727848    153      12  238536      0.65229       0.0121   -5.3413e-05      0.65235
_SET1_   PHGDH              1  120254419  120286849     42      12  244131       3.2628   4.7288e-07   -5.3413e-05       3.2628
_SET1_   POLR3GL            1  145456236  145476081      3       1  231984       -1.383      0.66913   -5.3413e-05      -1.3829
_SET1_   ANKRD35            1  145549209  145568526      8       2  250487      -1.5363      0.60963   -5.3413e-05      -1.5363
_SET1_   PRKAB2             1  146626685  146644168     18       3  249319       1.5958    0.0015395   -5.3413e-05       1.5958
_SET1_   ACP6               1  147119168  147142634     30       6  245237       2.2154   0.00011763   -5.3413e-05       2.2155
_SET1_   PLEKHO1            1  150122170  150131825      2       1  225396     -0.21141      0.26489   -5.3413e-05     -0.21136
_SET1_   ANP32E             1  150190717  150208504      4       2  227626       4.2826   4.1055e-08   -5.3413e-05       4.2827
_SET1_   CA14               1  150229554  150237478      2       1  243395       2.7221   0.00012202   -5.3413e-05       2.7221
_SET1_   APH1A              1  150237799  150241609      1       1  195867       1.2188        0.033   -5.3413e-05       1.2189
_SET1_   C1orf54            1  150244687  150253335      7       2  251972       1.2977    0.0056412   -5.3413e-05       1.2978
_SET1_   TARS2              1  150459840  150480085     17       3  252119      0.63842     0.023167   -5.3413e-05      0.63847
_SET1_   CTSK               1  150768684  150780917      6       3  194186       1.0349     0.023791   -5.3413e-05        1.035
_SET1_   ARNT               1  150782181  150849244     29       8  207751       0.1698     0.067617   -5.3413e-05      0.16985
_SET1_   SETDB1             1  150898815  150937389     14       3  243645     -0.55739      0.22749   -5.3413e-05     -0.55734
_SET1_   CDC42SE1           1  151023447  151032125      4       1  238103     -0.91011      0.47116   -5.3413e-05     -0.91006
_SET1_   PSMD4              1  151227176  151239955      5       2  235589       3.7272   6.6053e-07   -5.3413e-05       3.7273
_SET1_   ZNF687             1  151254094  151264381      4       1  224990       5.4232   1.1176e-10   -5.3413e-05       5.4233
_SET1_   RFX5               1  151313116  151319785      4       2  199085       4.3266   8.8009e-08   -5.3413e-05       4.3267
_SET1_   POGZ               1  151375200  151445753     36       3  235403       1.4882    0.0034063   -5.3413e-05       1.4883
_SET1_   SNX27              1  151584454  151671559     34       6  213859       1.8584   0.00076272   -5.3413e-05       1.8584
_SET1_   TDRKH              1  151742741  151763052     21       3  235751       2.4546   7.9543e-05   -5.3413e-05       2.4547
_SET1_   THEM4              1  151843342  151882361     29       2  250190      -1.2116      0.49943   -5.3413e-05      -1.2115
_SET1_   S100A10            1  151955386  151966714      8       2  250560      0.32202     0.063277   -5.3413e-05      0.32207
_SET1_   CHTOP              1  153606458  153618782      6       1  237296       2.0856   0.00082466   -5.3413e-05       2.0857
_SET1_   SLC27A3            1  153746830  153752633      3       2  236305     -0.33539      0.22824   -5.3413e-05     -0.33534
_SET1_   DENND4B            1  153901977  153919162      5       2  253170     -0.75003      0.32069   -5.3413e-05     -0.74998
_SET1_   TPM3               1  154127780  154164611     15       4  250022      -1.6059      0.59599   -5.3413e-05      -1.6059
_SET1_   C1orf43            1  154179183  154193273      9       2  244836      -1.9814      0.77204   -5.3413e-05      -1.9814
_SET1_   HAX1               1  154245039  154248351      1       1  253196     -0.69516         0.37   -5.3413e-05     -0.69511
_SET1_   IL6R               1  154377669  154441926     38       6  245149     -0.93804      0.27996   -5.3413e-05     -0.93798
_SET1_   CHRNB2             1  154540257  154552354      3       2  222883      0.46098     0.078408   -5.3413e-05      0.46104
_SET1_   PMVK               1  154897208  154909484      7       1  248922      -1.2139      0.60203   -5.3413e-05      -1.2138
