# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
SLC45A1            1    8378171    8404227     15       5  242953     -0.32404   -5.3413e-05     -0.32399
RERE               1    8412464    8877699    264      13  244727      -1.9847   -5.3413e-05      -1.9847
ENO1               1    8921059    8939151     16       3  243879      -1.3805   -5.3413e-05      -1.3805
CA6                1    9005893    9035151     39      11  219693     -0.70566   -5.3413e-05     -0.70561
SLC2A7             1    9063359    9086404     28      11  213790      -1.6234   -5.3413e-05      -1.6233
SLC2A5             1    9097005    9131763     25       6  229405      -2.4071   -5.3413e-05       -2.407
GPR157             1    9163472    9189229     12       3  246361      -1.0203   -5.3413e-05      -1.0203
H6PD               1    9294822    9331396     21       6  238141       5.5249   -5.3413e-05        5.525
SPSB1              1    9335202    9429591     62      22  235437       1.6404   -5.3413e-05       1.6404
SLC25A33           1    9599528    9642831     11       2  229005      -0.1115   -5.3413e-05     -0.11144
TMEM201            1    9648932    9674935     10       2  247279      -1.0568   -5.3413e-05      -1.0567
PIK3CD             1    9711789    9789172     27       8  228966      -2.4549   -5.3413e-05      -2.4549
CLSTN1             1    9789079    9884550     20       2  236812      -2.0744   -5.3413e-05      -2.0744
CTNNBIP1           1    9908334    9970316     17       2  235452      -2.6811   -5.3413e-05      -2.6811
LZIC               1    9982168   10003460     11       3  233683      -0.1144   -5.3413e-05     -0.11435
NMNAT1             1   10003486   10045556     12       2  251909     -0.44269   -5.3413e-05     -0.44264
RBP7               1   10057255   10076078      4       1  219417     -0.15601   -5.3413e-05     -0.15596
UBE4B              1   10093041   10241297     41      10  237338      0.66801   -5.3413e-05      0.66807
KIF1B              1   10270606   10441664    111       6  246324       1.1844   -5.3413e-05       1.1845
PGD                1   10458884   10480565      8       2  220910      0.23232   -5.3413e-05      0.23237
APITD1             1   10489944   10510239      9       2  238848     -0.67381   -5.3413e-05     -0.67375
APITD1-CORT        1   10490159   10512060     13       3  228325     -0.65549   -5.3413e-05     -0.65543
CORT               1   10509776   10512060      5       2  214337     -0.44924   -5.3413e-05     -0.44919
DFFA               1   10520588   10532613      3       2  221552     -0.84257   -5.3413e-05     -0.84252
PEX14              1   10535003   10690815    153      18  242613     -0.31269   -5.3413e-05     -0.31264
CASZ1              1   10696661   10856733     93      32  199448      -1.1703   -5.3413e-05      -1.1702
C1orf127           1   11006530   11042094     36       7  231337     -0.85223   -5.3413e-05     -0.85217
TARDBP             1   11072462   11085549      7       1  248542       2.9025   -5.3413e-05       2.9026
MASP2              1   11086580   11107296     10       1  246196       3.2927   -5.3413e-05       3.2927
EXOSC10            1   11126675   11159961     14       1  240209       4.2591   -5.3413e-05       4.2591
MTOR               1   11166588   11322614     42       2  232426       4.3684   -5.3413e-05       4.3685
UBIAD1             1   11333255   11348491      6       1  221223       1.5746   -5.3413e-05       1.5747
PTCHD2             1   11539295   11597640     41       5  243714       -1.386   -5.3413e-05       -1.386
FBXO2              1   11707924   11714888      4       2  183201     -0.71465   -5.3413e-05      -0.7146
FBXO44             1   11714432   11723384      5       2  186399     -0.47556   -5.3413e-05      -0.4755
FBXO6              1   11724150   11734411      2       1  176300      -1.7544   -5.3413e-05      -1.7543
MAD2L2             1   11734537   11751678      6       2  201291     -0.63357   -5.3413e-05     -0.63351
DRAXIN             1   11751781   11780336     15       5  222114      -0.3019   -5.3413e-05     -0.30184
AGTRAP             1   11796142   11810828     12       3  244740      -1.6881   -5.3413e-05      -1.6881
C1orf167           1   11823827   11849642     30       4  242350      -2.5793   -5.3413e-05      -2.5792
MTHFR              1   11845787   11866160     33       6  243562      -2.2072   -5.3413e-05      -2.2071
CLCN6              1   11866153   11903201     45       7  249805      -2.3912   -5.3413e-05      -2.3912
NPPA               1   11905766   11907840      5       2  252946      -1.3593   -5.3413e-05      -1.3592
KIAA2013           1   11979645   11986485      5       2  252238      -1.0482   -5.3413e-05      -1.0482
PLOD1              1   11994724   12035599     24       6  235124     -0.98758   -5.3413e-05     -0.98753
MFN2               1   12040238   12073572     17       3  244521     -0.79968   -5.3413e-05     -0.79963
MIIP               1   12079299   12092106      7       3  195293     -0.73618   -5.3413e-05     -0.73612
TNFRSF8            1   12123434   12204264     54      16  197332      -2.4499   -5.3413e-05      -2.4499
TNFRSF1B           1   12227044   12269279     48       9  218515      0.81824   -5.3413e-05      0.81829
VPS13D             1   12290101   12572099     73      15  228035     -0.36004   -5.3413e-05     -0.35998
DHRS3              1   12627939   12677820     38      12  230576      -1.2676   -5.3413e-05      -1.2676
AADACL4            1   12704566   12727097     17       3  146115      -0.8951   -5.3413e-05     -0.89505
AADACL3            1   12776118   12788726     26       4  234402     -0.73674   -5.3413e-05     -0.73669
C1orf158           1   12806163   12821102     20       4  227931      -1.1246   -5.3413e-05      -1.1245
PRAMEF12           1   12834984   12838049      4       2  239723      -3.1931   -5.3413e-05       -3.193
PRAMEF1            1   12851546   12856777      3       1  218339      -0.3503   -5.3413e-05     -0.35024
HNRNPCL1           1   12907261   12908578      1       1   66975      -0.9404   -5.3413e-05     -0.94034
PRAMEF2            1   12916941   12921764      1       1   66975     -0.97787   -5.3413e-05     -0.97781
LRRC38             1   13801445   13840242     42      13  214309       0.2399   -5.3413e-05      0.23996
PDPN               1   13910252   13944452     37      13  224062    0.0076232   -5.3413e-05    0.0076766
PRDM2              1   14026714   14151574    133      19  242078      -1.5607   -5.3413e-05      -1.5607
KAZN               1   14219646   15444544   1493     205  240203      -1.0557   -5.3413e-05      -1.0556
TMEM51             1   15479028   15546974    125      18  250538      -0.1329   -5.3413e-05     -0.13284
C1orf195           1   15490692   15498120      7       3  252348      0.38333   -5.3413e-05      0.38338
FHAD1              1   15573730   15724767    112      23  217103       -2.319   -5.3413e-05       -2.319
EFHD2              1   15736391   15756839      5       3  227341     -0.93892   -5.3413e-05     -0.93887
CTRC               1   15764938   15773153      2       1  240065      -1.0548   -5.3413e-05      -1.0547
CELA2A             1   15783223   15798586     18       4  242575        -1.76   -5.3413e-05        -1.76
CELA2B             1   15802596   15817895     11       2  251321      -2.0144   -5.3413e-05      -2.0143
CASP9              1   15817896   15851407     64       6  241780      -1.9102   -5.3413e-05      -1.9102
DNAJC16            1   15853343   15898228     22       3  252706       -1.741   -5.3413e-05       -1.741
AGMAT              1   15898194   15911605      6       2  242412      -1.7288   -5.3413e-05      -1.7287
DDI2               1   15943953   15995539     29       2  250292     -0.57478   -5.3413e-05     -0.57473
RSC1A1             1   15986364   15988217      1       1  198601      -0.4073   -5.3413e-05     -0.40724
PLEKHM2            1   16010632   16061264     35       4  251494      -1.9478   -5.3413e-05      -1.9477
SLC25A34           1   16062721   16067884      1       1  251326      -1.3762   -5.3413e-05      -1.3762
TMEM82             1   16068987   16074292      1       1  246035      -2.1732   -5.3413e-05      -2.1731
FBLIM1             1   16083107   16113089     12       3  245030       1.6457   -5.3413e-05       1.6458
UQCRHL             1   16133657   16134194      1       1  253195      0.32429   -5.3413e-05      0.32435
SPEN               1   16174359   16266951     41       6  239604       1.3592   -5.3413e-05       1.3593
ZBTB17             1   16268364   16302627     13       5  247552      0.95099   -5.3413e-05      0.95105
TBC1D3P6           1   16302626   16323701     16       4  235821      0.81566   -5.3413e-05      0.81571
C1orf64            1   16330731   16333184      3       1  253030     -0.51183   -5.3413e-05     -0.51178
HSPB7              1   16340523   16346084     11       3  207270     0.098414   -5.3413e-05     0.098468
CLCNKA             1   16348486   16360548     12       4  250450      -0.1072   -5.3413e-05     -0.10715
CLCNKB             1   16370231   16383821     21       5  233335      -0.5484   -5.3413e-05     -0.54835
FAM131C            1   16384264   16400127     14       3  228675      -0.5792   -5.3413e-05     -0.57914
EPHA2              1   16450832   16482582     22       5  239720       -2.535   -5.3413e-05      -2.5349
ARHGEF19           1   16524599   16539104     17       3  238287      0.17995   -5.3413e-05         0.18
ANO7P1             1   16551343   16553528      2       1  248695      -1.5439   -5.3413e-05      -1.5438
RSG1               1   16558182   16563659      1       1  195705       0.7244   -5.3413e-05      0.72445
FBXO42             1   16573339   16678965     41       4  251915      -1.7742   -5.3413e-05      -1.7742
SZRD1              1   16693525   16724643     12       4  250576     -0.76399   -5.3413e-05     -0.76394
SPATA21            1   16722101   16763919     24       6  245430      0.89741   -5.3413e-05      0.89747
NECAP2             1   16767167   16786585      9       3  233996     -0.95849   -5.3413e-05     -0.95843
NBPF1              1   16888922   16940100      5       3   88091      -1.0598   -5.3413e-05      -1.0598
CROCC              1   17248445   17299474     14       4  235738       5.2557   -5.3413e-05       5.2557
MFAP2              1   17300997   17308081      3       1  234229       7.7094   -5.3413e-05       7.7095
ATP13A2            1   17312453   17338467      9       3  239625       8.8852   -5.3413e-05       8.8853
SDHB               1   17345217   17380665     29       5  247452       7.1711   -5.3413e-05       7.1711
PADI2              1   17393256   17445948     66       7  235709       5.5312   -5.3413e-05       5.5313
PADI1              1   17531621   17572501     63      20  189862     -0.97764   -5.3413e-05     -0.97759
PADI3              1   17575593   17610728     69      14  246604     -0.92893   -5.3413e-05     -0.92888
PADI4              1   17634690   17690495     94      12  236119       -2.402   -5.3413e-05       -2.402
PADI6              1   17698741   17728195     53       7  246532      0.91407   -5.3413e-05      0.91413
RCC2               1   17733251   17766250     20       3  241311      0.90328   -5.3413e-05      0.90334
ARHGEF10L          1   17846693   18024370    130      20  232615      -2.2889   -5.3413e-05      -2.2888
ACTL8              1   18081808   18153558     65       9  241577       -1.524   -5.3413e-05      -1.5239
IGSF21             1   18434240   18704977    349      70  236038      -1.2536   -5.3413e-05      -1.2535
KLHDC7A            1   18807424   18812540     10       3  244887      -1.0137   -5.3413e-05      -1.0137
PAX7               1   18957500   19075360    121      31  201708     -0.28818   -5.3413e-05     -0.28813
TAS1R2             1   19166093   19186155     19       6  221372      -1.2679   -5.3413e-05      -1.2679
ALDH4A1            1   19197924   19229293     11       4  179138      -0.9153   -5.3413e-05     -0.91525
IFFO2              1   19230774   19282826     23       9  224522     -0.77556   -5.3413e-05     -0.77551
UBR4               1   19401000   19536812     97       8  247948     0.064763   -5.3413e-05     0.064816
EMC1               1   19542158   19578053     28       6  246313      0.17336   -5.3413e-05      0.17342
MRTO4              1   19578075   19586622      8       2  244961     -0.45803   -5.3413e-05     -0.45797
AKR7A3             1   19609057   19615280      4       2  246173      -0.5212   -5.3413e-05     -0.52115
AKR7A2             1   19629202   19638640      5       2  237281     -0.52983   -5.3413e-05     -0.52978
PQLC2              1   19638740   19658925      9       3  219364       2.2212   -5.3413e-05       2.2212
CAPZB              1   19665267   19812066    184      16  249649       3.8726   -5.3413e-05       3.8726
MINOS1             1   19923471   19956315     23       6  231311       2.8567   -5.3413e-05       2.8567
MINOS1-NBL1        1   19923471   19984949     36      10  235427       3.2443   -5.3413e-05       3.2443
NBL1               1   19969723   19984949      8       4  241027        2.296   -5.3413e-05        2.296
HTR6               1   19991780   20006055      9       3  223787     -0.99936   -5.3413e-05     -0.99931
TMCO4              1   20008706   20126424     90      24  230058      -2.6278   -5.3413e-05      -2.6277
RNF186             1   20140522   20141771      2       1  161196      -1.9454   -5.3413e-05      -1.9454
OTUD3              1   20208356   20239438     16       5  245251      -1.9183   -5.3413e-05      -1.9182
PLA2G2E            1   20246800   20250110     10       3  242794      -2.0968   -5.3413e-05      -2.0968
PLA2G2A            1   20301924   20306932     13       5  220042      -0.4426   -5.3413e-05     -0.44255
PLA2G5             1   20386157   20418394     58      12  242304     -0.44579   -5.3413e-05     -0.44574
PLA2G2D            1   20439143   20446059     10       4  213162     -0.57518   -5.3413e-05     -0.57512
PLA2G2F            1   20465823   20476879      9       4  198961     -0.49588   -5.3413e-05     -0.49583
PLA2G2C            1   20490484   20501687     19       4  243201     -0.89727   -5.3413e-05     -0.89721
UBXN10             1   20512578   20522540      4       1  250206       1.0173   -5.3413e-05       1.0174
VWA5B1             1   20617412   20681662     97      14  249871      0.36457   -5.3413e-05      0.36462
MUL1               1   20825941   20834674     11       4  245223      -1.8555   -5.3413e-05      -1.8555
CDA                1   20915444   20945401     19       7  242572       2.9065   -5.3413e-05       2.9066
PINK1              1   20959948   20978004     15       3  237242       1.3951   -5.3413e-05       1.3951
DDOST              1   20978260   20988037     17       4  251939      0.66038   -5.3413e-05      0.66043
KIF17              1   20990475   21044317     58      21  230493        1.262   -5.3413e-05        1.262
SH2D5              1   21046225   21059133     16       5  242624       2.8106   -5.3413e-05       2.8106
HP1BP3             1   21069170   21113808     24       5  247497       2.7839   -5.3413e-05       2.7839
EIF4G3             1   21132785   21503381    163       9  247597       1.9291   -5.3413e-05       1.9291
ECE1               1   21543740   21672034    129      24  243706       4.5121   -5.3413e-05       4.5121
NBPF3              1   21766583   21811393     31       5  236285      0.52765   -5.3413e-05      0.52771
ALPL               1   21835475   21904905    101      17  246334     -0.74902   -5.3413e-05     -0.74897
RAP1GAP            1   21922708   21996010     68      19  238092      0.91651   -5.3413e-05      0.91656
USP48              1   22004791   22109688     82      11  241436     -0.20096   -5.3413e-05     -0.20091
LDLRAD2            1   22138758   22151714      6       3  236519     -0.82691   -5.3413e-05     -0.82685
HSPG2              1   22148737   22263750     93      15  235686      0.15916   -5.3413e-05      0.15921
CELA3B             1   22303418   22315847     11       3  229026       1.4412   -5.3413e-05       1.4412
CELA3A             1   22328149   22339035      7       3  226841      0.46083   -5.3413e-05      0.46089
CDC42              1   22379120   22419439     31       4  238028      0.47218   -5.3413e-05      0.47223
WNT4               1   22443798   22470474     28       7  235529       2.0916   -5.3413e-05       2.0917
ZBTB40             1   22778344   22857650     50       6  237552      -3.1733   -5.3413e-05      -3.1732
EPHA8              1   22890004   22930087     29       8  243353     -0.34551   -5.3413e-05     -0.34545
C1QA               1   22963118   22966175      3       2  245125      -1.2953   -5.3413e-05      -1.2953
C1QC               1   22969969   22974603      8       2  250880     -0.89243   -5.3413e-05     -0.89237
C1QB               1   22979682   22988130     13       3  245535      0.46287   -5.3413e-05      0.46292
EPHB2              1   23037263   23241823    182      34  242915      -1.8846   -5.3413e-05      -1.8845
LACTBL1            1   23279536   23299524      9       2  251578       3.1863   -5.3413e-05       3.1863
C1orf234           1   23337327   23342343      2       1  253037       4.8832   -5.3413e-05       4.8832
KDM1A              1   23345937   23410184     17       2  248304       3.1683   -5.3413e-05       3.1683
LUZP1              1   23410516   23504301     36       6  249585       5.8354   -5.3413e-05       5.8355
HNRNPR             1   23635953   23671143     12       2  240995       3.3378   -5.3413e-05       3.3379
ZNF436             1   23685941   23696357     15       4  249793       3.8186   -5.3413e-05       3.8186
TCEA3              1   23707555   23751269     36       9  245455       2.1082   -5.3413e-05       2.1083
ASAP3              1   23755056   23810750     34       5  250369     0.086794   -5.3413e-05     0.086847
E2F2               1   23832920   23857712     13       3  237447       1.0681   -5.3413e-05       1.0682
ID3                1   23884421   23886285      3       2  245476       1.4831   -5.3413e-05       1.4831
RPL11              1   24018269   24022915      2       1  250931     -0.16969   -5.3413e-05     -0.16963
TCEB3              1   24069856   24088549      6       3  238383     -0.99355   -5.3413e-05     -0.99349
PITHD1             1   24104876   24114722      2       1  247835     -0.14483   -5.3413e-05     -0.14477
LYPLA2             1   24117275   24122029      1       1  240703     0.081541   -5.3413e-05     0.081594
HMGCL              1   24128367   24165110     12       2  250241     -0.71035   -5.3413e-05      -0.7103
FUCA1              1   24171567   24194859      6       2  242857     -0.67325   -5.3413e-05     -0.67319
CNR2               1   24197005   24285549      3       1  218712     -0.19201   -5.3413e-05     -0.19195
MYOM3              1   24382531   24438665     82      11  236953      -1.1465   -5.3413e-05      -1.1464
IL22RA1            1   24446261   24469783     25       6  238670      -1.6851   -5.3413e-05      -1.6851
IFNLR1             1   24480647   24513765     36       9  227209      -1.9022   -5.3413e-05      -1.9022
GRHL3              1   24645812   24690972     39      10  230916      0.51725   -5.3413e-05       0.5173
STPG1              1   24683489   24741587     39       7  240906       1.1157   -5.3413e-05       1.1157
NIPAL3             1   24742245   24799473     62       9  244785       2.2923   -5.3413e-05       2.2923
RCAN3              1   24828841   24863510     25       5  230701      -2.1866   -5.3413e-05      -2.1865
NCMAP              1   24882567   24935819     28       9  243537       1.4256   -5.3413e-05       1.4256
SRRM1              1   24969594   24999772      3       1  209057        1.827   -5.3413e-05        1.827
CLIC4              1   25071760   25170815     30       4  195553       5.0153   -5.3413e-05       5.0153
RUNX3              1   25226002   25291648     50      11  237228       2.3491   -5.3413e-05       2.3492
RSRP1              1   25568740   25574010      1       1  250096       2.1936   -5.3413e-05       2.1937
RHD                1   25598884   25656936      2       1  195762       1.6884   -5.3413e-05       1.6884
TMEM50A            1   25664789   25688852      1       1  247726         3.88   -5.3413e-05       3.8801
RHCE               1   25687853   25747363      2       1  200110   -0.0094328   -5.3413e-05   -0.0093793
TMEM57             1   25757388   25826700      5       1  247540        3.086   -5.3413e-05       3.0861
LDLRAP1            1   25870071   25895377     10       1  212403      -1.0265   -5.3413e-05      -1.0264
MAN1C1             1   25943959   26111258     71      11  231618     -0.76872   -5.3413e-05     -0.76866
SEPN1              1   26126667   26144713     10       3  233945       1.2025   -5.3413e-05       1.2025
MTFR1L             1   26146397   26159433      7       1  244303     -0.56445   -5.3413e-05      -0.5644
AUNIP              1   26158414   26185939     15       1  244629     -0.61891   -5.3413e-05     -0.61885
PAQR7              1   26187975   26202461      4       1  249654     -0.62036   -5.3413e-05     -0.62031
STMN1              1   26210670   26233368      8       2  245646     -0.05463   -5.3413e-05    -0.054577
PAFAH2             1   26286258   26326366     27       3  246235       1.4827   -5.3413e-05       1.4827
EXTL1              1   26348266   26362955      9       3  236875       3.1347   -5.3413e-05       3.1348
SLC30A2            1   26364513   26373439      4       1  243641       1.7617   -5.3413e-05       1.7617
TRIM63             1   26377792   26394142     17       2  248534       4.2724   -5.3413e-05       4.2725
PDIK1L             1   26437656   26452039     13       1  253091       4.9859   -5.3413e-05        4.986
FAM110D            1   26485511   26489119      2       1  248166       1.2372   -5.3413e-05       1.2372
ZNF593             1   26496388   26497364      4       2  235337       2.0954   -5.3413e-05       2.0955
CNKSR1             1   26503981   26516375      5       2  229539       4.2869   -5.3413e-05        4.287
CATSPER4           1   26517119   26529033     25       5  246249       4.7687   -5.3413e-05       4.7687
CEP85              1   26560644   26605529     51       6  251939        1.344   -5.3413e-05        1.344
SH3BGRL3           1   26606213   26608013      1       1  253247     -0.75439   -5.3413e-05     -0.75434
UBXN11             1   26608773   26644756     52       6  249554       2.3309   -5.3413e-05       2.3309
CD52               1   26644411   26647014      3       1  250525       1.0378   -5.3413e-05       1.0379
AIM1L              1   26648350   26680621     34       6  246992       1.5983   -5.3413e-05       1.5983
ZNF683             1   26688125   26701023     15       3  240467       1.6391   -5.3413e-05       1.6392
LIN28A             1   26737269   26756219     16       5  228931         5.25   -5.3413e-05       5.2501
DHDDS              1   26758773   26797797     19       4  247967      0.79612   -5.3413e-05      0.79617
HMGN2              1   26798902   26803133      4       2  251894       1.7454   -5.3413e-05       1.7455
RPS6KA1            1   26856249   26901520     31       5  241537       2.8438   -5.3413e-05       2.8438
LOC101928728       1   27018623   27022896      3       2  234181        1.317   -5.3413e-05        1.317
ARID1A             1   27022522   27108601     16       3  240904         2.68   -5.3413e-05       2.6801
ZDHHC18            1   27153201   27184092     11       3  244242       0.9619   -5.3413e-05      0.96195
GPN2               1   27205872   27216869      1       1  253030      -1.9213   -5.3413e-05      -1.9212
GPATCH3            1   27216979   27226962      3       2  233797     -0.68993   -5.3413e-05     -0.68988
NR0B2              1   27237975   27240567      2       1  224724       2.6334   -5.3413e-05       2.6334
NUDC               1   27248187   27273362      8       3  250426       2.9387   -5.3413e-05       2.9388
KDF1               1   27276047   27286901      4       2  203786       2.4071   -5.3413e-05       2.4072
TRNP1              1   27320189   27327377      1       1  253090       1.6484   -5.3413e-05       1.6485
FAM46B             1   27331511   27339333      1       1  253104       1.2816   -5.3413e-05       1.2817
SLC9A1             1   27425300   27481621     17       3  233896       3.5598   -5.3413e-05       3.5599
WDTC1              1   27561007   27635124     17       5  222473       1.6975   -5.3413e-05       1.6975
TMEM222            1   27648636   27662891      6       2  206892      0.69304   -5.3413e-05      0.69309
SYTL1              1   27668483   27680423      6       2  206282      0.42589   -5.3413e-05      0.42595
MAP3K6             1   27681670   27693558     10       3  199162      -1.0496   -5.3413e-05      -1.0495
FCN3               1   27695601   27701315      1       1  207376       1.8198   -5.3413e-05       1.8198
CD164L2            1   27705596   27709823      2       1  250784      -1.4538   -5.3413e-05      -1.4537
GPR3               1   27719148   27722318      1       1  238462       2.3878   -5.3413e-05       2.3879
WASF2              1   27730734   27816678     25       2  238153      -1.2604   -5.3413e-05      -1.2603
AHDC1              1   27860756   27930463      8       3  212564     -0.81816   -5.3413e-05      -0.8181
FGR                1   27938800   27961727      6       2  184923      -1.2782   -5.3413e-05      -1.2782
IFI6               1   27992572   27998724      3       1  213495       0.3784   -5.3413e-05      0.37845
FAM76A             1   28052490   28089426     21       2  210367      -1.1901   -5.3413e-05        -1.19
STX12              1   28099694   28150963     16       2  203468     -0.61689   -5.3413e-05     -0.61684
PPP1R8             1   28157252   28178183      5       1  219956      0.13301   -5.3413e-05      0.13306
THEMIS2            1   28199055   28213196     11       2  239041      0.73404   -5.3413e-05      0.73409
