# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
DFFA               1   10520588   10532613     27       8  224455       1.3583    0.00072216       1.3576
PEX14              1   10535003   10690815    424      32  247219     -0.41654    0.00072216     -0.41726
CASZ1              1   10696661   10856733    407      80  237915      -1.3616    0.00072216      -1.3623
C1orf127           1   11006530   11042094    128      18  242403     -0.88667    0.00072216     -0.88739
TARDBP             1   11072462   11085549     27       6  225276      0.68551    0.00072216      0.68479
MASP2              1   11086580   11107296     66      11  236724     -0.42236    0.00072216     -0.42308
SRM                1   11114649   11120091      8       3  240924     -0.55057    0.00072216     -0.55129
EXOSC10            1   11126675   11159961     90       6  245976     -0.32687    0.00072216     -0.32759
MTOR               1   11166588   11322614    341      11  244194     -0.27636    0.00072216     -0.27709
ANGPTL7            1   11249346   11256038     17       4  235051     -0.21741    0.00072216     -0.21813
UBIAD1             1   11333255   11348491     27       5  242082      0.39974    0.00072216      0.39902
PTCHD2             1   11539295   11597640    159      18  254218       1.0211    0.00072216       1.0204
FBXO2              1   11707924   11714888     12       6  214382      -1.4777    0.00072216      -1.4784
FBXO44             1   11714432   11723384     24       8  242150      -1.2063    0.00072216      -1.2071
FBXO6              1   11724150   11734411     31      10  241233      -1.8019    0.00072216      -1.8027
MAD2L2             1   11734537   11751678     60      13  232920      -1.3079    0.00072216      -1.3087
DRAXIN             1   11751781   11780336     67      12  223445     -0.79784    0.00072216     -0.79856
AGTRAP             1   11796142   11810828     35       7  252434      -0.7654    0.00072216     -0.76612
C1orf167           1   11823827   11849642    144      11  258043      -2.0277    0.00072216      -2.0284
MTHFR              1   11845787   11866160     79      12  257698      -1.5244    0.00072216      -1.5252
CLCN6              1   11866153   11903201    184      15  261515      -1.3576    0.00072216      -1.3584
NPPA               1   11905766   11907840     11       4  264835      -1.8931    0.00072216      -1.8938
NPPB               1   11917521   11918992      3       2  201915      -0.3992    0.00072216     -0.39993
KIAA2013           1   11979645   11986485     22       7  247952      -0.1359    0.00072216     -0.13662
PLOD1              1   11994724   12035599    133      17  242781      -1.0294    0.00072216      -1.0301
MFN2               1   12040238   12073572     83      11  249656     -0.74038    0.00072216      -0.7411
MIIP               1   12079299   12092106     23       5  244807      -1.1681    0.00072216      -1.1688
TNFRSF8            1   12123434   12204264    174      34  236967     -0.90597    0.00072216     -0.90669
TNFRSF1B           1   12227044   12269279    117      16  241551      -2.2612    0.00072216       -2.262
VPS13D             1   12290101   12572099    618      27  227388      -2.4123    0.00072216       -2.413
DHRS3              1   12627939   12677820    166      35  250295      -2.0971    0.00072216      -2.0979
AADACL4            1   12704566   12727097     53       6  247304      0.48106    0.00072216      0.48034
AADACL3            1   12776118   12788726     44       7  244186     -0.52845    0.00072216     -0.52917
C1orf158           1   12806163   12821102     37       7  253302     -0.40635    0.00072216     -0.40707
PRAMEF12           1   12834984   12838049      6       2  252624      0.19196    0.00072216      0.19123
PRAMEF1            1   12851546   12856777      3       1   55464    -0.098683    0.00072216    -0.099405
HNRNPCL1           1   12907261   12908578      4       2  198872      -1.7105    0.00072216      -1.7112
PRAMEF2            1   12916941   12921764     21       4  210724      -1.1505    0.00072216      -1.1512
PRAMEF4            1   12939033   12946025      1       1  195653        0.783    0.00072216      0.78228
HNRNPCL2           1   13182960   13184326      3       1  217936       -0.227    0.00072216     -0.22772
LRRC38             1   13801445   13840242    144      31  232936      -1.6171    0.00072216      -1.6178
PDPN               1   13910252   13944452    116      27  233881      -1.5704    0.00072216      -1.5711
PRDM2              1   14026714   14151574    411      33  242385       0.2006    0.00072216      0.19987
KAZN               1   14219646   15444544   4910     387  242465      -1.4684    0.00072216      -1.4691
TMEM51             1   15479028   15546974    353      30  256829      -1.5812    0.00072216      -1.5819
C1orf195           1   15490692   15498120     31       8  246713      -1.7772    0.00072216      -1.7779
FHAD1              1   15573730   15724767    491      62  239244       -2.412    0.00072216      -2.4127
EFHD2              1   15736391   15756839     77      18  220660      0.74207    0.00072216      0.74135
CTRC               1   15764938   15773153     27      10  227836      0.23671    0.00072216      0.23599
CELA2A             1   15783223   15798586     63      11  255256     -0.48239    0.00072216     -0.48311
CELA2B             1   15802596   15817895     52      11  247564       1.2583    0.00072216       1.2576
CASP9              1   15817896   15851407    131      11  255313      0.55293    0.00072216       0.5522
DNAJC16            1   15853343   15898228    119      14  251438      0.17582    0.00072216      0.17509
AGMAT              1   15898194   15911605     54       9  252293      0.21555    0.00072216      0.21482
DDI2               1   15943953   15995539    131      11  249018     -0.64155    0.00072216     -0.64227
RSC1A1             1   15986364   15988217      5       3  220271       1.2913    0.00072216       1.2906
PLEKHM2            1   16010632   16061264    169      18  248438      -1.3787    0.00072216      -1.3794
SLC25A34           1   16062721   16067884     10       5  199264     -0.78875    0.00072216     -0.78947
TMEM82             1   16068987   16074292     21       6  226582      -1.0134    0.00072216      -1.0141
FBLIM1             1   16083107   16113089    109      20  228789      -1.2707    0.00072216      -1.2715
UQCRHL             1   16133657   16134194      5       2  251165       -1.755    0.00072216      -1.7557
SPEN               1   16174359   16266951    199      29  240039      0.32313    0.00072216      0.32241
ZBTB17             1   16268364   16302627     71      20  243028       1.3023    0.00072216       1.3016
TBC1D3P6           1   16302626   16323701     91      16  249133      0.62967    0.00072216      0.62895
C1orf64            1   16330731   16333184     15       6  246882      0.69441    0.00072216      0.69368
HSPB7              1   16340523   16346084     44       6  261494       2.3808    0.00072216       2.3801
CLCNKA             1   16348486   16360548     69      13  249982       1.1814    0.00072216       1.1806
CLCNKB             1   16370231   16383821    112      16  249092       -0.836    0.00072216     -0.83672
FAM131C            1   16384264   16400127     61      10  241613      -1.0909    0.00072216      -1.0916
EPHA2              1   16450832   16482582     67      17  239441      0.08658    0.00072216     0.085858
ARHGEF19           1   16524599   16539104     59       9  246815     -0.34095    0.00072216     -0.34168
ANO7P1             1   16551343   16553528      7       1  265547     -0.79621    0.00072216     -0.79693
RSG1               1   16558182   16563659     19       9  238527       -0.116    0.00072216     -0.11673
FBXO42             1   16573339   16678965    247      19  251697      -1.3665    0.00072216      -1.3672
SZRD1              1   16693525   16724643     66      11  251072     -0.65947    0.00072216      -0.6602
SPATA21            1   16722101   16763919    135      28  236121     -0.39627    0.00072216       -0.397
NECAP2             1   16767167   16786585     47      12  246945      -1.2072    0.00072216      -1.2079
CROCC              1   17248445   17299474    102      18  231777      0.24691    0.00072216      0.24619
MFAP2              1   17300997   17308081     16       6  236815     -0.67515    0.00072216     -0.67588
ATP13A2            1   17312453   17338467     60      15  245561      -1.1421    0.00072216      -1.1428
SDHB               1   17345217   17380665    125      14  255170     0.053314    0.00072216     0.052592
PADI2              1   17393256   17445948    268      19  251010      0.47096    0.00072216      0.47024
PADI1              1   17531621   17572501    143      39  242961     -0.51552    0.00072216     -0.51624
PADI3              1   17575593   17610728    182      30  251577      0.11445    0.00072216      0.11373
PADI4              1   17634690   17690495    277      24  252861     -0.93877    0.00072216     -0.93949
PADI6              1   17698741   17728195    177      21  252503       2.5519    0.00072216       2.5512
RCC2               1   17733251   17766250    101      21  237100        2.306    0.00072216       2.3052
ARHGEF10L          1   17846693   18024370    428      55  245252      0.59244    0.00072216      0.59171
ACTL8              1   18081808   18153558    206      26  220867     -0.62061    0.00072216     -0.62133
IGSF21             1   18434240   18704977    960     132  247423      -1.9557    0.00072216      -1.9564
KLHDC7A            1   18807424   18812540     26       6  260570      -2.2217    0.00072216      -2.2224
PAX7               1   18957500   19075360    354      63  242859      -1.2585    0.00072216      -1.2592
TAS1R2             1   19166093   19186155    125      25  218029     -0.91714    0.00072216     -0.91787
ALDH4A1            1   19197924   19229293    165      28  236445      -1.8247    0.00072216      -1.8254
IFFO2              1   19230774   19282826    212      40  234409      -2.1717    0.00072216      -2.1724
UBR4               1   19401000   19536812    346      30  240148      -1.3597    0.00072216      -1.3605
EMC1               1   19542158   19578053    129      20  246225      -1.8915    0.00072216      -1.8923
MRTO4              1   19578075   19586622     53       9  259457      -2.5839    0.00072216      -2.5846
AKR7A3             1   19609057   19615280     24       4  257578      -1.6875    0.00072216      -1.6882
AKR7A2             1   19629202   19638640     28      11  239142      -1.5199    0.00072216      -1.5206
PQLC2              1   19638740   19658925    105      17  250528      -1.6943    0.00072216       -1.695
CAPZB              1   19665267   19812066    682      36  237261      -1.8997    0.00072216      -1.9005
MINOS1             1   19923471   19956315    131      14  208590    -0.010797    0.00072216    -0.011519
MINOS1-NBL1        1   19923471   19984949    250      33  218806       0.2575    0.00072216      0.25678
NBL1               1   19969723   19984949     54      17  235395      0.90621    0.00072216      0.90549
HTR6               1   19991780   20006055     47      11  241816        1.671    0.00072216       1.6703
TMCO4              1   20008706   20126424    396      54  244814       1.3197    0.00072216        1.319
RNF186             1   20140522   20141771      7       4  207445      0.51179    0.00072216      0.51107
OTUD3              1   20208356   20239438     83      18  252818      -1.1336    0.00072216      -1.1343
PLA2G2E            1   20246800   20250110     21       7  248285      0.15656    0.00072216      0.15584
PLA2G2A            1   20301924   20306932     18       9  227047     -0.13275    0.00072216     -0.13347
PLA2G5             1   20386157   20418394    121      22  256100     -0.13376    0.00072216     -0.13448
PLA2G2D            1   20439143   20446059     20       9  237720      0.64885    0.00072216      0.64813
PLA2G2F            1   20465823   20476879     19       8  168281      -1.2879    0.00072216      -1.2887
PLA2G2C            1   20490484   20501687     41      10  251676      0.11147    0.00072216      0.11075
UBXN10             1   20512578   20522540     13       6  223069      0.38171    0.00072216      0.38098
VWA5B1             1   20617412   20681662    275      30  251468      -0.9257    0.00072216     -0.92642
CAMK2N1            1   20808884   20812728      5       3  240420       1.8705    0.00072216       1.8697
MUL1               1   20825941   20834674     33      12  238430       3.0164    0.00072216       3.0157
FAM43B             1   20878932   20881513      4       1  248058       2.7741    0.00072216       2.7734
CDA                1   20915444   20945401    119      21  257636     -0.80039    0.00072216     -0.80111
PINK1              1   20959948   20978004     85      15  235419     -0.31321    0.00072216     -0.31394
DDOST              1   20978260   20988037     36      10  235892         -0.2    0.00072216     -0.20072
KIF17              1   20990475   21044317    219      53  239787     -0.92688    0.00072216      -0.9276
SH2D5              1   21046225   21059133     39      11  254383     -0.64624    0.00072216     -0.64696
HP1BP3             1   21069170   21113808    100      20  244283      0.31256    0.00072216      0.31184
EIF4G3             1   21132785   21503381    813      38  243644     -0.88084    0.00072216     -0.88156
ECE1               1   21543740   21672034    442      60  236618      -1.5709    0.00072216      -1.5717
NBPF3              1   21766583   21811393    160      20  242849      -1.4154    0.00072216      -1.4161
ALPL               1   21835475   21904905    325      37  252751      -0.5748    0.00072216     -0.57552
RAP1GAP            1   21922708   21996010    299      53  244968     -0.17664    0.00072216     -0.17736
USP48              1   22004791   22109688    404      42  243792     -0.76512    0.00072216     -0.76584
LDLRAD2            1   22138758   22151714     44      19  242688      0.17989    0.00072216      0.17917
HSPG2              1   22148737   22263750    434      48  241003      0.51247    0.00072216      0.51175
CELA3B             1   22303418   22315847     80      12  237828      0.68076    0.00072216      0.68004
CELA3A             1   22328149   22339035     36       9  237923         1.27    0.00072216       1.2693
CDC42              1   22379120   22419439    128      24  239090       3.1459    0.00072216       3.1451
WNT4               1   22443798   22470474    112      26  244421       5.1629    0.00072216       5.1621
ZBTB40             1   22778344   22857650    190      29  239548     -0.48812    0.00072216     -0.48885
EPHA8              1   22890004   22930087    162      30  249002      0.80563    0.00072216      0.80491
C1QA               1   22963118   22966175      6       3  250005       2.2024    0.00072216       2.2017
C1QC               1   22969969   22974603     22       5  251329      0.79196    0.00072216      0.79124
C1QB               1   22979682   22988130     31      11  233524        2.706    0.00072216       2.7053
EPHB2              1   23037263   23241823    510      66  223967       0.8498    0.00072216      0.84908
LACTBL1            1   23279536   23299524     56      16  247788       3.2886    0.00072216       3.2878
C1orf234           1   23337327   23342343     11       4  232749       2.8131    0.00072216       2.8124
KDM1A              1   23345937   23410184     89      14  243897       2.3796    0.00072216       2.3789
LUZP1              1   23410516   23504301    196      28  245360       2.9356    0.00072216       2.9349
HTR1D              1   23518388   23521222      7       4  233905       2.5472    0.00072216       2.5465
HNRNPR             1   23635953   23671143     74      14  202302       2.9413    0.00072216       2.9406
ZNF436             1   23685941   23696357     35       9  246879       3.6517    0.00072216        3.651
TCEA3              1   23707555   23751269    138      25  240393     -0.46092    0.00072216     -0.46164
ASAP3              1   23755056   23810750    157      26  231556     -0.10754    0.00072216     -0.10826
E2F2               1   23832920   23857712     53      11  248238      -1.8029    0.00072216      -1.8036
ID3                1   23884421   23886285      7       3  222319     -0.18437    0.00072216     -0.18509
RPL11              1   24018269   24022915     12       4  218106     -0.26642    0.00072216     -0.26714
TCEB3              1   24069856   24088549     34      12  204171      0.24362    0.00072216       0.2429
PITHD1             1   24104876   24114722     12       7  229603      -0.4741    0.00072216     -0.47483
LYPLA2             1   24117275   24122029      4       2  229263       0.2615    0.00072216      0.26078
GALE               1   24122089   24127294      1       1  238156       1.7096    0.00072216       1.7089
HMGCL              1   24128367   24165110     50       7  244168       0.3319    0.00072216      0.33118
FUCA1              1   24171567   24194859     40       7  245736      -0.5153    0.00072216     -0.51602
CNR2               1   24197005   24285549    182      14  250681      0.28375    0.00072216      0.28303
PNRC2              1   24286301   24289952      1       1  213816     -0.83457    0.00072216      -0.8353
SRSF10             1   24292935   24306953      2       1  206492     -0.92085    0.00072216     -0.92157
MYOM3              1   24382531   24438665    224      34  229409      -1.0509    0.00072216      -1.0516
IL22RA1            1   24446261   24469783     84      21  230312       -1.113    0.00072216      -1.1137
IFNLR1             1   24480647   24513765    146      24  224756     -0.97415    0.00072216     -0.97487
GRHL3              1   24645812   24690972    120      28  236008      -1.5103    0.00072216      -1.5111
STPG1              1   24683489   24741587    184      25  244338       -1.059    0.00072216      -1.0597
NIPAL3             1   24742245   24799473    208      27  238030     -0.93397    0.00072216     -0.93469
RCAN3              1   24828841   24863510    126      22  229303      -1.9276    0.00072216      -1.9283
NCMAP              1   24882567   24935819    235      36  253505      -2.9045    0.00072216      -2.9053
SRRM1              1   24969594   24999772     35       9  232007      0.51528    0.00072216      0.51456
CLIC4              1   25071760   25170815    137      24  232554     -0.61384    0.00072216     -0.61456
RUNX3              1   25226002   25291648    146      34  223879      -1.5021    0.00072216      -1.5029
SYF2               1   25548767   25559013     11       6  204778     -0.90897    0.00072216     -0.90969
RSRP1              1   25568740   25574010     12       7  209653     -0.78357    0.00072216      -0.7843
RHD                1   25598884   25656936      4       2  193470     -0.25879    0.00072216     -0.25951
TMEM50A            1   25664789   25688852     50       9  214191     -0.24173    0.00072216     -0.24245
RHCE               1   25687853   25747363    104      14  211448       0.6701    0.00072216      0.66938
TMEM57             1   25757388   25826700     94       6  245065       1.1418    0.00072216       1.1411
LDLRAP1            1   25870071   25895377     76      12  236968      -1.1803    0.00072216       -1.181
MAN1C1             1   25943959   26111258    305      28  242025     0.090143    0.00072216      0.08942
SEPN1              1   26126667   26144713     47       6  249558     -0.45028    0.00072216       -0.451
MTFR1L             1   26146397   26159433     28       3  261773     -0.12808    0.00072216      -0.1288
AUNIP              1   26158414   26185939     66       4  256546     -0.30715    0.00072216     -0.30787
PAQR7              1   26187975   26202461     20       7  222488      -1.3977    0.00072216      -1.3984
STMN1              1   26210670   26233368     37       9  228229     -0.28184    0.00072216     -0.28256
PAFAH2             1   26286258   26326366    103      11  244296      0.15238    0.00072216      0.15166
EXTL1              1   26348266   26362955     42      15  213758      0.91629    0.00072216      0.91557
SLC30A2            1   26364513   26373439     23       7  232225       0.6016    0.00072216      0.60087
TRIM63             1   26377792   26394142     56      11  236025      0.15762    0.00072216       0.1569
PDIK1L             1   26437656   26452039     30       2  258522     -0.57924    0.00072216     -0.57996
FAM110D            1   26485511   26489119     13       6  234744     -0.99079    0.00072216     -0.99151
ZNF593             1   26496388   26497364      5       2  242715     -0.44017    0.00072216     -0.44089
CNKSR1             1   26503981   26516375     37      13  233941      -1.7429    0.00072216      -1.7436
CATSPER4           1   26517119   26529033     68      13  245551      -1.2647    0.00072216      -1.2654
CEP85              1   26560644   26605529    157      17  254695     0.086474    0.00072216     0.085752
SH3BGRL3           1   26606213   26608013      5       3  250764    -0.048801    0.00072216    -0.049524
UBXN11             1   26608773   26644756    136      13  257586     0.060483    0.00072216     0.059761
CD52               1   26644411   26647014     12       4  254151      0.69619    0.00072216      0.69547
AIM1L              1   26648350   26680621    105      18  253601      0.86341    0.00072216      0.86268
ZNF683             1   26688125   26701023     56      12  249755    -0.019706    0.00072216    -0.020428
LIN28A             1   26737269   26756219     41      14  227110       2.5366    0.00072216       2.5358
DHDDS              1   26758773   26797797     75      21  242221       1.8959    0.00072216       1.8952
HMGN2              1   26798902   26803133     10       5  245650      0.92561    0.00072216      0.92489
RPS6KA1            1   26856249   26901520    122      21  239545       2.2997    0.00072216       2.2989
LOC101928728       1   27018623   27022896      9       3  256460       2.7399    0.00072216       2.7391
ARID1A             1   27022522   27108601    137      12  246334       2.6519    0.00072216       2.6512
PIGV               1   27113739   27124894     18       6  244363       2.4265    0.00072216       2.4257
ZDHHC18            1   27153201   27184092     55      11  249469       2.9988    0.00072216        2.998
SFN                1   27189633   27190947      1       1  266030       1.9709    0.00072216       1.9702
GPN2               1   27205872   27216869     21       6  240634       3.1237    0.00072216        3.123
GPATCH3            1   27216979   27226962     16       8  242025       1.8919    0.00072216       1.8912
NR0B2              1   27237975   27240567      7       4  243051      0.74445    0.00072216      0.74372
NUDC               1   27248187   27273362     40      12  245177       2.7593    0.00072216       2.7586
